お客様からの質問,ますびと商店の回答
"交換したい（店舗都合）

交換の理由：竿が折れていた。梱包［ダンボール]にも破損と、他の箇所と異なるテープで補修されていたので、運搬中の破損の可能性もある。交換して下さい。明日から出張のため、返送が必要な場合は、来週になります。商品の写真を添付しようとしてますが、スマホ画面で確認できていません。再送が必要なら連絡下さい。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便おかけし誠に申し訳ございません。
配送業者にはすでにご連絡いただきましたでしょうか。
交換品をお届け時に不具合品と交換させていただく予定です。
ご確認の程よろしくお願いいたします。
ますびと商店"
配送業者には連絡していません。そちらからの発送時に、「交換品の配達時に不良品引き上げ」を指定する事はできませんか？,"お客様
ご確認ありがとうございます。
当店より佐川急便社に連絡の上、ご対応させていただきます。
また、今週中には交換品を発送させていただく予定です。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"Hi seller, is this brand new rod? May I have the estimated shipping package weight and size in Length × Width × Height (L × W × H) please, i need to give this details to my shipping provider to ship cross border, Thank you.","お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
こちらの商品は新品です。
梱包サイズはおおよそですが135×15×15（cm）といったところです。
よろしくお願いいたします。
ますびと商店"
,
"キャンセルしたい

gサイズを間違えてしまいました。一度キャンセルもしくは2gを10gに変更可能でしょうか？","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
商品の変更につきましては、一度キャンセルのうえ再度ご注文いただく形になります。
取り急ぎキャンセルさせていただきます。
引き続きよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：違う場所で買うため","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"その他について確認したい

本日届きました。早い出荷ありがとうございます
鯵道5g 682m を購入したのですがトップガイドにスレッドが掛かっていないように見えるのですが大丈夫でしょうか？","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、大変申し訳ございません。
初期不良に該当すると思われますので、メーカー確認のうえ
交換品を手配させていただきます。
少々お時間くださいませ。（3/24発送予定です）
何卒よろしくお願い申し上げます。
ますびと商店"
,"お客様
いつも大変お世話になっております。
先日、交換品をメーカーより発送させていただきました。
ご連絡が遅くなり申し訳ございません。
返送用の送り状も添えておりますので、お受け取り時にドライバーさんに不具合品をお渡しください。
（ドライバーさんにもわかるようにしております）
この度は大変申し訳ございませんでした。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：メジャークラフト ジャイアントキリング ベンドゲーム GKBGLJ-S62Mこの商品をGKBGLJ-B62Mこれだと勘違いして注文してしまいました","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"交換したい（店舗都合）

交換の理由：電池キャップ内部爪破損

商品到着後、説明書通りコインでキャップを外した際にキャップ内固定爪？がぽろっと落ちてきた。
無理な取り外しはしてないと思いますが、、。

写真を2枚添付しました。
ご確認お願いいたします。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便をおかけし大変申し訳ございません。
恐れ入りますが、現品を確認のうえご対応させていただきたく存じます。
お手数ですが下記までご返送いただけますでしょうか。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
"ご連絡ありがとうございます。
承知しました。
発送費用はどちら持ちになりますでしょうか。","先ほど発送しました。
明日到着予定とのことです。
よろしくお願いいたします。"
,"お客様
いつも大変お世話になっております。
早速のご対応ありがとうございます。
31日（火）にご確認させていただきます。
引き続きよろしくお願い申し上げます。
ますびと商店"
,"お客様
いつも大変お世話になっております。
ご返送品を確認させていただきました。
製品不具合にてご不便をおかけし誠に申し訳ございません。
本件は返品・返金でも問題無いのですが、交換でよろしかったでしょうか。
ご確認の程よろしくお願い申し上げます。
ますびと商店"
,
"配送について

本日お昼にも連絡させていただいたんですが品番を誤って購入したため返品させていただけますでしょうか。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
返品ご希望の旨、承知しました。
【送料元払い】にて下記までご返送ください。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
"お忙しいところ恐れ入ります。ご返信ありがとうございます。
再度検討し、このまま購入させていただくことにいたしました。
ややこしいことを申し上げてしまい、申し訳ございません。","お客様
いつも大変お世話になっております。
お返事が遅くなり申し訳ございません。
そのままご使用とのこと承知いたしました。
その他お困りごとがございましたらお気軽にお申し付けください。
何卒よろしくお願い申し上げます。
ますびと商店"
,
いじりまわされた展示品ですか？,"お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
当店は通販専門ですので展示品はございません。
ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"交換したい（店舗都合）

交換の理由：
トップガイドの向きがずれているので。
このような仕様なら仕方ないとは思いますが？
※不具合がある商品の写真を添付してください","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件につきまして、スパイラルガイドの仕様となっておりますが
そのうえでガイドの向きにズレがありますでしょうか。
ご確認の程よろしくお願い申し上げます。
ますびと商店"
スパイラル仕様で回転している部分には問題はありませんがガイドが下向きになって方向が揃うところでトップガイドだけがずれています。,"お客様
いつも大変お世話になっております。
お返事が遅くなり申し訳ございません。
本件、メーカーに確認させていただきたく、
すべてのガイドが写っているお写真をいただくことは可能でしょうか。
（その際にトップガイドが真上を向くようにしていただきたいです）
お手数ですが何卒よろしくお願い申し上げます。
ますびと商店"
これでわかりますか？？もう一枚送っておきます。トップガイドが上にくるとこんな感じです。,"お客様
いつも大変お世話になっております。
お返事が遅くなり誠に申し訳ございません。
ご記載の通り、トップガイドの取り付け不良かと存じます。
メーカーに確認のうえ、交換品を手配させていただきます。
（今のところ24日発送予定です）
何卒よろしくお願い申し上げます。
ますびと商店"
,"お客様
いつも大変お世話になっております。
先日、交換品をメーカーより発送させていただきました。
ご連絡が遅くなり申し訳ございません。
返送用の送り状も添えておりますので、お受け取り時にドライバーさんに不具合品をお渡しください。
（ドライバーさんにもわかるようにしております）
この度は大変申し訳ございませんでした。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"返金してほしい（店舗都合）

返金の理由リールのラインをだすためのスプールのボタンが押しても戻ってくる
普通ハンドルを回さない戻らないはずです
こんなん使い物にならない",
ラインは巻いてあるけど使用はしていません、別の買ったから返金対応お願いします,"お客様
いつも大変お世話になっております。
昨日はお電話にてありがとうございました。
お手数ですがご返送の程よろしくお願い申し上げます。
ますびと商店"
返金依頼して商品送ったけどもう到着してますよね？音沙汰ないけどどうなってんの？,"お客様
いつも大変お世話になっております。
ご対応にお時間がかかっており申し訳ございません。
明日現品を確認のうえ、ご対応させていただきます。
お時間いただき申し訳ございませんが、何卒よろしくお願い申し上げます。
ますびと商店"
,"お客様
いつも大変お世話になっております。
本件、ご対応が遅くなり申し訳ございません。
ご返金手続きをさせていただきました。
また、ラインのご対応につきましては別途ご連絡させていただきます。
何卒よろしくお願い申し上げます。
ますびと商店"
インのご対応につきましては別途ご連絡させていただきます。つて言ってるが音沙汰ないけど、どうなってますの？,"お客様
いつも大変お世話になっております。
ご連絡が遅くなり申し訳ございません。
クラッチがすぐに戻ってしまう症状ですが、右隣のレバーの操作によって
クラッチのモードを切り替えることができそうでして
それが仕様通りなのかメーカーにお問い合わせしているところでした。
本日中にはメーカーに回答をいただきますのでもうしばらくお待ちいただけますでしょうか。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：折角購入させて頂いたのにすいません。今週の釣りの予定が無くなったのでキャンセルさせて下さい。また予定ができた時に購入させてください。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"フォースマスター600を購入いたしました。リールを巻くとシャリシャリと音がします、またフォールレバーを操作する際にスムーズではなくところどころ引っ掛かりがあります。
店舗で操作してみてもそのような挙動はなかったので初期不良かと思います。通電もしていない未使用状態ですので、別の個体と交換していただけないでしょうか？","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便をおかけし大変申し訳ございません。
恐れ入りますが、現品を確認のうえご対応させていただきたく存じます。
お手数ですが下記までご返送いただけますでしょうか。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
"ご連絡ありがとうございました。
承知いたしました。
発送方法につきましては着払いでよろしいでしょうか？","お客様
ご確認ありがとうございます。
送料は着払いで結構です。
引き続きよろしくお願い申し上げます。
ますびと商店"
"先日日本郵政にて発送いたしました。本日到着予定とのことです。
一点ご相談ですが、今週末には購入したリールを使う予定でした、ライン巻きも必要ですのでお早めにお手配いただけますでしょうか？もしくは3号ラインを巻いていただくサービスなどありましたら、案内していただけますと幸いです。
お手数おかけいたしますがどうぞよろしくお願い致します。","お客様
いつも大変お世話になっております。
お返事が遅くなり申し訳ございません。
ご返送品につきましては、明日現品を確認させていただきまして
最短で23日（月）のご発送となります。
また、ラインにつきましては別途ご注文いただきましたら糸巻きのご対応も可能です。
（その際はご注文後に注文番号をご教示くださいませ）
以上、ご確認の程よろしくお願い申し上げます。
ますびと商店"
"ご連絡ありがとうございました。
今週間に合わないようでしたら購入は控えたいと思います。
また前回は保証書に店名と、購入日の記載がなかったのでそちらも合わせて記入いただきご対応いただければ幸いです。",
"お世話なっております。
今週には使用したいのでお手数ですがご発送のほどよろしくお願いします。","お客様
いつも大変お世話になっております。
お待たせしました。
ご釣行を考慮しまして、検品済みの交換品を本日発送させていただきます。
また、保証書に記入・押印はいたしかねますが領収書があれば問題ございません。（楽天市場内でダウンロードしていただけます）
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：種類を間違えた","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
恐れ入りますが、当日キャンセル締め切り後のご連絡につきご対応いたしかねます。
申し訳ございません。
返品をご希望の場合はお受け取りのうえ別途お申しつけくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"この度はお世話になります。
注文品を間違えました。今質問しているページの網に変更して欲しいです。よろしくお願いします。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
恐れ入りますが、元のご注文番号をご教示いただけますでしょうか。
何卒よろしくお願い申し上げます。
ますびと商店"
"注文番号
404987-20260310-0474212272

です。よろしくお願いします。","お客様
ご確認ありがとうございます。
恐れ入りますが、当日キャンセル締め切り後のお申し出につき、
返品・返金のうえ再度ご注文いただく流れとなります。
（送料元払いでのご返送となります）
よろしければご返信いただけますでしょうか。
何卒よろしくお願い申し上げます。
ますびと商店"
やっぱり使うことにします。お手数かけました。ごめんなさい。,"お客様
いつも大変お世話になっております。
早速のご確認ありがとうございます。
そのままご使用とのこと承知しました。
また機会がございましたらよろしくお願いいたします。
ますびと商店"
,
この竿は重量は102gとABUサイトに掲載されてましたが202gなんですか？,"お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便をおかけし誠に申し訳ございません。
メーカーに確認が取れまして、
『102g』が正しい情報とのことです。
（他店様のサイトでも誤りがございますが、メーカーの方で修正があったようです）
何卒よろしくお願い申し上げます。
ますびと商店"
,
こっちは在庫ありますか？,"お客様
お問い合わせありがとうございます。
こちらの商品は在庫がございます。
基本的にお買い求めいただける状態の商品は在庫ありになります。
何卒よろしくお願い申し上げます。
ますびと商店"
,
在庫まだありますか？？,"お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
こちらの商品は在庫がございます。
ご検討の程よろしくお願い申し上げます。
ますびと商店"
2、3日時間頂けますか？,"お客様
ご確認ありがとうございます。
恐れ入りますが、在庫のお取り置きはご対応いたしかねます。
大変申し訳ございません。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：
間違えて注文をしてしまいました。","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
恐れ入りますが、発送後のご連絡につきご対応いたしかねます。
申し訳ございません。
返品をご希望の場合はお受け取りのうえ別途お申しつけくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
ご連絡ありがとうございます。受け取り後こちらで返送料を負担すればご対応していただく事は可能でしょうか？,"お客様
いつも大変お世話になっております。
ご確認ありがとうございます。
送料元払いにて返送いただけましたら問題ございません。
引き続きよろしくお願い申し上げます。
ますびと商店"
"ご連絡ありがとうございます。
お騒がせしましたが、このまま使うことにしましたので返送の件は無かったことにしていただきたいと思います。
この度はありがとうございました。","お客様
ご確認ありがとうございます。
このままご使用いただけるとのこと、承知しました。
その他お困りごとがございましたらお申し付けください。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"指紋が付いた商品が届いたとレビューにありますが、開封済み商品、または展示品だから特別価格ということでしょうか？
もしくは検品作業をしているためでしょうか？","お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
当店は通販専門ですので、展示品はございません。
また、基本的に新品未開封での発送となっております。
一方で未開封でも指紋が付いていることはございますのでその点はご理解ください。
（メーカーの仕上げ・過去の流通など）
ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"お届け日時を変更したい

どれぐらいで発送されますでしょうか？","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
ご注文の商品は本日発送にて手配を進めております。
商品のお届けまでもうしばらくお待ちくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"お聞きしたいのですが、こちらの商品についていくつかお聞きしたいのですが、もし説明を見逃していたらすいません
右ハンドルか？
PE LINEはついないのか？
何年式？
保証はありますか？
電動リールのコードは付属？
返答宜しくお願いします","お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
お返事が遅くなり申し訳ございません。
・右ハンドルです
・ラインは付属しません
・2019年発売のモデルです
・1年間のメーカー保証書が付属します
・コードは付属しています
ご検討の程よろしくお願い申し上げます。
ますびと商店"
"前回とはサイズ違いのプレイズ3000についてお聞きしたいのですが、
右ハンドルか？
PE LINEはついないのか？
何年式？
保証はありますか？
電動リールのコードは付属？
返答宜しくお願いします
ちなみに三年釣りをしてなくてルールがわからないのですが、私は
この電動リールにPE4号を巻いてヤリイカ、スルメ、ワラサ、外房のヒラメを考えてますが適してますか？
プレイズ1000だとラインが300メートルで心細いので3000を考えてます",
"たびたびすいません
こちらのプレイズ3000が何年式か
教えてもらえますか？
古いタイプはイカの多点掛けの時パワー不足との事なので、宜しくお願いします","お客様
いつも大変お世話になっております。
ご確認ありがとうございます。
恐れ入りますが、商品に相違が無いよう
商品ページのURLもしくが商品コードをご教示いただけますでしょうか。
何卒よろしくお願い申し上げます。
ますびと商店"
"失礼しました
こちらのプレイズ3000です

商品番号　sale4969363046666

お手数おかけします","お客様
いつも大変お世話になっております。
お返事が遅くなり申し訳ございません。
右ハンドルか：右ハンドルです
PE LINEはついないのか？：付属しません
何年式？：2024年発売のモデルです
保証はありますか？：メーカー保証書が付属します
電動リールのコードは付属？：付属します
ご記載の釣法には適しております
以上、ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"その他について確認したい

商品が届いて確認したのですがリールだけでジグが全て入っていませんでした。
ジグは別配送となるのでしょうか。
確認をお願い致します。
佐藤",
"別配送にてジグも届きました
ありがとうございました。","お客様
いつも大変お世話になっております。
ご連絡いただきありがとうございます。
リールとジグが別倉庫からの配送につき、ご不便をおかけし誠に申し訳ございません。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：間違えて注文しました。キャンセルをお願いします。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
"キャンセルしたい

キャンセルの理由：諸事情により","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：リールのサイズ等いま一度検討させて下さい","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：大変申し訳ございません。
キャンセルさせていただきたいです。
よろしくお願いいたします。","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
恐れ入りますが、当日キャンセル締め切り後のご連絡につきご対応いたしかねます。
申し訳ございません。
返品をご希望の場合はお受け取りのうえ別途お申しつけくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：すみませんが間違えて注文をしてしまいました。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：誤って２回注文をしてしまいました。ごめんなさい。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"配送について

大まかな納期はわかりますでしょうか","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
ご注文の商品は24日に発送いたしました。
25-26日のお届け予定となります。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"配送について

初めてまして。ゼノン3000shの納期はいつ頃予定でしょうか？","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
ご注文の商品は昨日（24日）に発送いたしました。
商品のお届けまでもうしばらくお待ちくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
,
ロッドを注文したいのですが、佐川急便の営業所留め置きは可能でしょうか,"お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
こちらの商品は佐川急便での営業所止めが可能ですので、
ご希望の際はご注文時に備考欄にその旨をご記載ください。
ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"配送について

2/20に購入しましたがいつ頃到着になりますか？","お客様
いつも大変お世話になっております。
当店にてお買い上げいただき誠にありがとうございます。
ご注文の商品は昨日発送いたしました。
商品のお届けまでもうしばらくお待ちくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店"
,
こちらの商品に保証書はついていますか？,"お客様
いつも大変お世話になっております。
お問い合わせありがとうございます。
こちらの商品はメーカー保証書が付属しております。
ご検討の程よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：発送までが遅すぎ","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：商品を間違えた","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"その他について確認したい

お世話になります。先日商品の方が届きました。ありがとうございました。
確認ですが届きました電動リールのフォールブレーキダイヤルが全く動かないのですが不具合でしょうか？
バッテリーをつなげた状態でも動きません。
ご返答の方、よろしくお願いいたします。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便をおかけし大変申し訳ございません。
フォールブレーキダイヤルそのものが「回らない」ということでよろしいでしょうか。
（ダイヤルが固着しているのでしょうか）
恐れ入りますが、ご確認の程よろしくお願い申し上げます。
ますびと商店"
お世話になります。届いた状態でダイヤルが固着していまして全く動かないです。ジョグダイヤルは作動しました。ダイワへ問い合わせたところ通常は動くとのことでしたので問い合わせしました。,"お客様
いつも大変お世話になっております。
ご確認いただきありがとうございます。
恐れ入りますが、現品を確認のうえご対応させていただきたく存じます。
お手数ですが下記までご返送いただけますでしょうか。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
"本日佐川急便にて発送いたします。
よろしくお願いいたします。","お客様
いつも大変お世話になっております。
返送品を受領し、確認させていただきました。
おっしゃるようにメカニカルブレーキのダイヤルが全く動きませんね…。
ただいまメーカーに確認しておりますのでもうしばらくお待ちくださいませ。
何卒よろしくお願い申し上げます。
ますびと商店
"
,"お客様
いつも大変お世話になっております。
本件、お時間がかかっており申し訳ございません。
メーカーに確認させていただきましたが、やはり初期不良の可能性が高いとのことでした。
ご対応につきましては交換／返金のどちらがよろしいでしょうか。
ご確認の程よろしくお願い申し上げます。
ますびと商店"
"お世話になります。
商品交換で対応していただきたいです。
よろしくお願いいたします。","お客様
ご確認ありがとうございます。
交換対応にて手配を進めさせていただきます。
何卒よろしくお願い申し上げます。
ますびと商店"
釣行予定があるのでおおよそいつ頃になるかわかりましたらご連絡お願いいたします,"お客様
いつも大変お世話になっております。
交換品は11日（水）に発送させていただきました。
無事お受け取りいただけましたでしょうか。
ご確認の程よろしくお願い申し上げます。
ますびと商店"
,
"交換したい（店舗都合）

交換の理由：
商品のページ（写真と商品説明）にオリーブと記載があったため、購入し、本日届きました。
届いた色はブラックでした。
良く確認したところ、写真の下の説明書きに、ブラックと記載がありました。
本来は、オリーブが欲しかったため、交換頂きたいです。
また、商品ページの記載修正をお願いします。

※不具合がある商品の写真を添付してください",
"本件、状況いかがでしょうか？
今週末利用予定なのですが。","お客様
いつも大変お世話になっております。
本件、ご不便をおかけし大変申し訳ございません。
またお返事が遅くなり誠に申し訳ございません。
もちろん交換させていただきますので
お手元の商品を下記までご返送いただけますでしょうか。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710
（送料は着払いにて）

何卒よろしくお願い申し上げます。
ますびと商店"
,"五月雨式に失礼いたします。
3連休のご釣行にも間に合わせられず、重ねてお詫び申し上げます。
誠に申し訳ございません。
お気持ちばかりではございますがお詫びの品をお送りさせていただきます。
（アブガルシア タンブラー）
何卒よろしくお願い申し上げます。
ますびと商店"
"ご確認及びご連絡ありがとうございます。
先ほど、下記の通り返送致しました。
ご確認の程、宜しくお願い致します。

ヤマト運輸
送り状番号: 4999-1607-1185
届け日: 2/26",
交換商品は、いつ頃届けていただけますか？,"お客様
いつも大変お世話になっております。
ご確認いただきありがとうございます。
交換品・お詫びの品、ともの明日の発送予定となっております。
お時間がかかり申し訳ございません。
何卒よろしくお願い申し上げます。
ますびと商店"
"昨日、交換品とタンブラーが届きました。
交換対応頂きありがとうございました。","お客様
ご丁寧にありがとうございます。
この度はご不便をおかけし、誠に申し訳ございませんでした。
スタッフ一同、サービスの改善に尽力してまいります。
何卒よろしくお願い申し上げます。
ますびと商店"
,
"キャンセルしたい

キャンセルの理由：","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
ご注文キャンセルの旨、承知しました。
また機会がございましたらよろしくお願い申し上げます。
ますびと商店"
,
"返金してほしい（店舗都合）

返金の理由：
スローで巻いた時のガタツキがあまりにも酷いため返品したい。","お客様
いつも大変お世話になっております。
当店をご利用いただきありがとうございます。
本件、ご不便をおかけし大変申し訳ございません。
恐れ入りますが、現品を確認のうえご対応させていただきたく存じます。
お手数ですが下記までご返送いただけますでしょうか。

〒180-0011
東京都武蔵野市八幡町1-1-3-203
ますびと商店
TEL：0422-66-2710

何卒よろしくお願い申し上げます。
ますびと商店"
"発送後に再度連絡致します。
近日中に対応します。",
"下記で発送しました。

ヤマト着払い
16日午前着
4669-6530-7631","お客様
いつも大変お世話になっております。
早速のご対応ならびにご連絡いただきありがとうございます。
18日（水）に現品確認のうえ、ご対応させていただきます。
何卒よろしくお願い申し上げます。
ますびと商店"
,"お客様
いつも大変お世話になっております。
ご返送品を確認させていただきました。
回転不良（シャリ感・がたつき）を確認できましたので返金手続きを進めさせていただきます。
この度は誠に申し訳ございません。
何卒よろしくお願い申し上げます。
ますびと商店"
,
